,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Investment Geographical Preference / Project Location,,,,,,,,Investment Round,,,,,,Investment Capial / Capital Seek,,,,,,,,,,Targeted Investment Sectors,,,,,,,,,,,,,
,companyLogos,Company ,"Company Type - 
Investor / Others / Project Owner",Representative,Company Sub-Type,Location,Company Location,Invesment Geographcy Preference,Asia,Europe,North America,Middle East,Australasia,Africa,South America,Inveetment Round,Seed & Pre-Series A,Series A,Series B,Series C and Beyond,IPO,Investment Capial / Capital Seek,"500,000 USD or below","500,001 to 1,000,000 USD","1,000,001 to 2,500,000 USD","2,500,001 to 5,000,000 USD","5,000,001 to 7,500,000 USD","7,500,001 to 10,000,000 USD","10,000,001 to 25,000,000 USD","25,000,001 to 50,000,000 USD","50,000,001 USD or above",Targeted Sector,Financial Technology,Deep Technology,"Environment, Energy and Clean Technology",Healthcare Technology,Consumer,Digital Entertainment and Media,Manufacturing Technology,Infrastructure and Real Estate Services,Food and Agriculture,Education,representativesUrl,Company Website,Social Media,About
,https://storage.googleapis.com/b2match-as-1/HdmKi6czNwse2aoubXkkX6Gm,01Fintech,Investor,Jasmine Jiang,Venture Capital ,"Hong Kong, China (Hong Kong)", China (Hong Kong),Asia,Y,,,,,,,"Series B,Series C and Beyond",,,Y,Y,,"25,000,001 to 50,000,000 USD",,,,,,,,Y,,"Consumer,Financial Technology,Digital Entertainment and Media",Y,,,,Y,Y,,,,,/participations/448385,,,"01Fintech is a growth-stage Asia-focused private equity firm which aids and empowers founders and entrepreneurs to scale their visions.


01Fintech是一家私人股权投资公司，专注于增长阶段的金融科技投资机会，尤其是在亚洲（中国除外）



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/B5u3KbsC1LZgB29Jraq4ucAK,AccuGrowth Investment,Investor,Jessie Huang,Family Office ,"Toronto, Canada", Canada,North America,,,Y,,,,,"Series B,Series C and Beyond",,,Y,Y,,"50,000,001 USD or above",,,,,,,,,Y,"Education,Financial Technology,Infrastructure and Real Estate Services",Y,,,,,,,Y,,Y,/participations/452952,,,"AccuGrowth Investment Inc. is a boutique family office dedicated to empowering global high-net-worth families to achieve generational prosperity and a life of freedom and fulfillment.

We offer tailored solutions in succession planning, and individual wealth management consulting, with a particular focus on Cross-Border Wealth Planning strategies. 

Our expertise also lies in uncovering exclusive, off-market deals, ensuring our clients benefit from unique and high-quality investment opportunities while growing their wealth sustainably.

We look forward to partnerships and exchanges."
,,ACH Worldwide Limited,Investor,Kyle Wong,Institutional Investor,"Hong Kong, China (Hong Kong)", China (Hong Kong),"Asia,Europe",Y,Y,,,,,,Series A,,Y,,,,"2,500,001 to 5,000,000 USD",,,,Y,,,,,,"Financial Technology,Healthcare Technology,Environment, Energy and Clean Technology",Y,,Y,Y,,,,,,,/participations/451524,https://hk.linkedin.com/company/achworldwide,https://hk.linkedin.com/company/achworldwide,"With the mission of driving value creation through technology and innovation, we offer corporate advisory services to facilitate our clients to adopt Agile and Creative methods for reaching a new Horizon of value creation success!  We are a group of professional talents with PhD, CPA,  CFA or LLB qualifications, great technology and finance knowhow and proven consultancy experience.   

Our Corporate Advisory Services branded under ""S-O-L-A-R"":  
S=Starting>> Business Starter: Business Reengineering, Company restructuring and Corporate Finance support. 
O=Operating >> STARS COO & CFO Operation Support (S-T-A-R-S: S=SAAS; T=Just in Time; A=Accurate Data; R=Realistic Forecast; S=Smart Decisions)
L=Learning >> Coaching and Workshops of Metaverse, Digital Transformation, Business valuation, Brand / Market Strategies, etc.
A=Advising >> > Metaverse for business, Market Research & Analysis, Content Marketing, Business Roadshow,  Branding & Marketing Strategies, Business Valuation, Vendor Due diligence
R=Raising  >> Fundraising: Government Fund application, Private Fundraising and Deal flow support

We drive “Value Creation for rising stars”!
We help A-C-H-F-M-S rising stars in the digital economy to unleash their values by capturing the amazing growth opportunities in the market. 

(Digital Economy high growth rising stars’ sectors: A= Automotive / Aerospace / Agri-tech; C=Chips (semiconductor) / Construction / Communication / Crypto ; H=Healthcare (Life Science); F=Fintech; M=Metaverse related ; S=Smart City)

我们的使命是依托技术与创新驱动价值创造。秉承这一使命，我们专注于提供企业咨询服务，助力客户采纳敏捷方法，激发创造力，从而在价值创造之路上迈向新高度！我们是一支由专业人才组成的团队，成员拥有博士学位、注册会计师资格、特许金融分析师资格或法学学士学位，具备卓越的技术和财务知识，以及丰富的咨询经验。

我们的企业咨询服务品牌为“S-O-L-A-R”：
S=Starting >> 企业创办：业务重组、公司重组和公司财务支持。
O=Operating >> STARS 首席运营官和首席财务官运营支持（S-T-A-R-S：S=软件即服务；T=及时；A=准确的数据；R=切合实际的预测；S=明智决策）
L=Learning >> 元宇宙、数字化转型、业务估值、品牌/市场策略等方面的指导和研讨会
A=Advising >> 商业元宇宙、市场研究和分析、内容营销、业务路演、品牌和营销策略、业务估值、供应商尽职调查
R=Raising >> 资金筹集：政府基金申请、私人融资和交易流动支持

我们推动“为冉冉升起的明星企业创造价值”！
我们通过抓住市场上惊人的增长机会，帮助数字经济中冉冉升起的 A-C-H-F-M-S 明星企业充分发挥自身的价值。

（数字经济高增长新兴明星行业：A=汽车/航空航天/农业科技；C=芯片（半导体）/建筑/通信/加密；H=医疗保健（生命科学）；F=金融科技；M=元宇宙相关；S=智慧城市）

页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/CcBzM6fpWpXDXnHfkBf7g5Fk,Aden Financial Holdings,Investor,Anthony Tsao,Family Office ,"Hong Kong, China (Hong Kong)", China (Hong Kong),Asia,Y,,,,,,,"Series A,Seed & Pre-Series A",Y,Y,,,,"5,000,001 to 7,500,000 USD",,,,,Y,,,,,Financial Technology,Y,,,,,,,,,,/participations/433998,https://adenfin.com.hk/,,"Family Office with SFC license


持有香港证监会牌照的家族办公室



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/FXo4hTaN9TosKazQNWkccAKZ,Alibaba Entrepreneurs Fund,Investor,Jack Chung,Venture Capital ,"Hong Kong, China", China,"Asia,Africa,Europe,Australasia,Middle East,North America,South America",Y,Y,Y,Y,Y,Y,Y,"Series A,Series B,Seed & Pre-Series A,Series C and Beyond",Y,Y,Y,Y,,"5,000,001 to 7,500,000 USD,2,500,001 to 5,000,000 USD,7,500,001 to 10,000,000 USD",,,,Y,Y,Y,,,,"Consumer,Financial Technology,Healthcare Technology,Digital Entertainment and Media,Infrastructure and Real Estate Services",Y,,,Y,Y,Y,,Y,,,/participations/452042,,,"AEF has invested over US$100 million into over 80 startups, attracting co-investment funding of more than US$2.8 billion in an investment portfolio that covers a diverse range of industries and sectors. As AEF looks towards the next decade, it remains committed to accelerating the development and adoption of new technologies in Hong Kong and the GBA. The AEF NextGen Fund is poised to play a pivotal role in this mission, driving AI innovation and supporting the growth of startups that will shape the future of technology."
,,ALLNER,Investor,Thilo Allner,Family Office ,"London - Basingstoke, United Kingdom", United Kingdom,"Asia,Europe,Australasia,North America",Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,"Consumer,Education,Healthcare Technology,Infrastructure and Real Estate Services,Environment, Energy and Clean Technology",,,Y,Y,Y,,,Y,,Y,/participations/453769,https://www.linkedin.com/in/thilo-allner-b41a9,https://www.linkedin.com/in/thilo-allner-b41a9,"ALLNER is a family owned company with multinational operations.  

We encourage and welcome international cooperation.

Company Activities 2025:

- Innovative Healthcare Technologies
- Fashion Technology
- Investments

ALLNER is committed to research, advocate improvement through innovations and is involved in several industries.

Operations are conducted by lean-management principles, leading high-performance, multi-cultural teams to create value for all stakeholders.

Welcome!

ALLNER 

ALLNER 是一家拥有跨国业务的家族企业

拥有跨国业务的家族企业 我们鼓励并欢迎跨境合作

2025 年重点：

- 医疗保健和医疗保健技术
- 时尚科技 
- 多个行业的投资 

ALLNER 致力于研究，倡导通过创新作出改进，并涉足多个行业.

经营活动遵循精益管理原则，带领高绩效、多元文化团队为所有利益相关者创造价值.

欢迎"
,,Ancora Equity Partners,Investor,Aaron Yang,Private Equity ,"Toronto, Canada", Canada,"Asia,Africa,Europe,Australasia,Middle East,North America,South America",Y,Y,Y,Y,Y,Y,Y,"IPO,Series A,Series B,Seed & Pre-Series A,Series C and Beyond",Y,Y,Y,Y,Y,"50,000,001 USD or above",,,,,,,,,Y,"Consumer,Education,Deep Technology,Financial Technology,Food and Agriculture,Healthcare Technology,Manufacturing Technology,Digital Entertainment and Media,Infrastructure and Real Estate Services,Environment, Energy and Clean Technology",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/participations/450206,http://www.ancoraep.ca,,"We are a Canadian-based private equity firm that specializes in making equity investments in established small and medium-sized companies. With a team of experienced professionals, we are committed to driving long-term value for both our investors and portfolio companies. Guided by our core values of Sustainability, Integrity, Long-term partnerships and Collaboration (“SILC”), we leverage our diverse industry expertise and collaborative culture to build enduring relationships and to deliver superior results. We are well-positioned to succeed in the industry and create a positive impact."
,https://storage.googleapis.com/b2match-as-1/NmqVTY6TFeLWFb28aVSGupEt,Andis Partners,Investor,Sean Jeon,Venture Capital ,"Seoul, South Korea", South Korea,Asia,Y,,,,,,,"IPO,Series A,Series B,Seed & Pre-Series A,Series C and Beyond",Y,Y,Y,Y,Y,,,,,,,,,,,"Deep Technology,Financial Technology,Food and Agriculture,Manufacturing Technology,Environment, Energy and Clean Technology",Y,Y,Y,,,,Y,,Y,,/participations/443054,https://www.andispartners.com/,https://www.linkedin.com/company/andis-partners/,"Andis Partners is a South Korea-based VC/PE firm led by seasoned professionals with expertise in global investment banking, financial institutions, and innovative startups. We empower entrepreneurs by leveraging our global network and cross-industry insights to drive transformative growth, foster innovation, and create enduring value.

At AFF, we focus on:

1. Connecting with Hong Kong and Asia-based investors exploring opportunities in Korean markets or seeking to participate as LPs
2. Discovering high-potential startups across Hong Kong and the broader Asia region
3. Fostering strategic relationships with companies and investors to build lasting partnerships and collaboration opportunities


Andis Partners是一家总部位于韩国的风险投资/私募股权公司，由经验丰富的专业人士领导，拥有关于全球投资银行、金融机构和创新初创公司方面的专业知识。我们通过利用全球网络和跨行业的见解，赋予创业者力量，以推动变革性增长，促进创新并创造长远价值。

在AFF，我们专注于：

1. 与香港和亚洲的投资者建立联系，探索或寻求作为有限合伙人参与韩国市场的机会
2. 在香港和整个亚洲地区发现具有高潜力的初创企业
3. 与公司和投资者建立战略关系，以建立长久的合作伙伴关系和合作机会



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/FMzf5a3jtEiWuF1VtcSaXW8Z,Angel Talks,Investor,Vladislav Gavriluk,Angel Investor ,"USA, American Samoa", United States,,,,,,,,,,,,,,,"1,000,001 to 2,500,000 USD",,,Y,,,,,,,"Financial Technology,Digital Entertainment and Media",Y,,,,,Y,,,,,/participations/454016,http://angeltalks.com,,VC Founf for Ealy Stage Projects
