,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Targeted Sector,,,,,,,,,,,Investment Capital,,,,,,,,,,Investment Round,,,,,,,
,Company Name,Project Name,Project Representative,Representative Title,Project Location,Project Dexcription,Targeted Sector,Financial Technology,Deep Technology,"Environment, Energy and Clean Technology",Healthcare Technology,Consumer,Digital Entertainment and Media,Manufacturing Technology,Infrastructure and Real Estate Services,Food and Agriculture,Education,Investment Capital ,"500,000 USD or below","500,001 to 1,000,000 USD","1,000,001 to 2,500,000 USD","2,500,001 to 5,000,000 USD","5,000,001 to 7,500,000 USD","7,500,001 to 10,000,000 USD","10,000,001 to 25,000,000 USD","25,000,001 to 50,000,000 USD","50,000,001 USD or above",Investment Round,Seed & Pre-Series A,Series A,Series B,Series C and Beyond,IPO,Format of Cooperation,Target Financing Structure,link
,3DNA Technology,3DNA Technology,Dennis G Zelazowski,Founding Partner,,3DNA Technology saves $100B of tied inventory capital and depreciation by providing digital transformation tools to all segments of the eyewear industry. 3DNA Technology 通过为眼镜行业提供数字化转型工具，节省了 1000 亿美元的库存资本和折旧。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.affdeal-making.hk/marketplace/opportunities/UGFydGljaXBhdGlvbk9wcG9ydHVuaXR5OjE0MDI0OA==
,AccuGrowth Investment,FDA approved medical device,Jessie Huang,Managing Director,,"We have access to a FDA approved medical device product (early detection for throat cancer). Looking for distribution, investment and partnership.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.affdeal-making.hk/marketplace/opportunities/UGFydGljaXBhdGlvbk9wcG9ydHVuaXR5OjEzOTY1MQ==
,AccuGrowth Investment,exclusive Real Estate opportunity,Jessie Huang,Managing Director,,"We have exclusive access to a great deal of off-market premium quality real estate (land, warehouse, commercial plaza) in Canada. Looking for opportunities to collaborate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.affdeal-making.hk/marketplace/opportunities/UGFydGljaXBhdGlvbk9wcG9ydHVuaXR5OjE0MDI0NA==
,AccuGrowth Investment,Risk adjusted high return North America Funds with strong track record,Jessie Huang,Managing Director,,"We have access / strong relationships to a series of high performing North America funds (VC tech start up, Private credit, Secondary, REIT, etc.) with long standing strong track record. We open for various collaboration opportunities.",Financial Technology,Y,,,,,,,,,,Not Applicable,,,,,,,,,,,,,,,,JV / Partnership,,https://www.affdeal-making.hk/marketplace/opportunities/UGFydGljaXBhdGlvbk9wcG9ydHVuaXR5OjE0MDI0Mg==
,Achelous Pure Metal Company Limited,THE 1st LITHIUM-ION BATTERY RECYCLING MICROFACTORY IN ASIA,Shawn Cheng,Co-Founder,China (Hong Kong),"We are excited to launch Asia’s first scalable smart lithium-ion battery recycling Microfactory, featuring our proprietary Nano-I technology, advanced AI, and robotics for efficient metal extraction, separation, and purification. Our compact Microfactory occupies a small footprint of 20 sqm for processing 200 kg to 120 sqm for up to 5 tons of lithium-ion batteries daily. This modular system is designed for placement at battery sources or with consumer electronics manufacturers, enabling a closed-loop approach to material use. The high-quality outputs include lithium carbonate, cobalt sulfate, and nickel—essential materials for new battery production. 我们很高兴推出亚洲首个可扩展的智能锂离子电池回收微工厂，该工厂采用我们专有的 Nano-I 技术、先进的 AI 和机器人技术，实现高效的金属提取、分离和纯化。 我们的微工厂占地面积仅为 200 平方米至 120 平方米，每天可处理多达 5 吨锂离子电池。该模块化系统设计用于放置在电池源或消费类电子产品制造商处，实现闭环材料使用方法。高质量的产出包括碳酸锂、硫酸钴和镍——这些都是新电池生产所需的必要原料。 ","Manufacturing Technology,Environment, Energy and Clean Technology",,,Y,,,,Y,,,,"1,000,001 to 2,500,000 USD",,,Y,,,,,,,Seed & Pre-Series A,Y,,,,,"Licensing,JV / Partnership",Common Shares,https://www.affdeal-making.hk/marketplace/opportunities/UGFydGljaXBhdGlvbk9wcG9ydHVuaXR5OjE0MDIzNw==
,Actially Consulting GmbH,Actially Consulting GmbH,Daniel Schmidt,Managing Director,,"IT consultancy specializing in emerging technologies, open source, and Fintech. Our mission is to deliver exceptional business development and dynamic sales solutions tailored for startup and mid-size Fintech companies. We collaborate with key global corporations, banks and insurance companies, fostering strategic partnerships to drive innovation, growth, and success.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.affdeal-making.hk/marketplace/opportunities/UGFydGljaXBhdGlvbk9wcG9ydHVuaXR5OjE0MDIzNg==
,Activation Group,Circle Student Community,Colin Lam,"Operation Director, Co-Founder",Australia,"https://circlestudent.com.au/ Circle Student Community is a visionary operator of purpose-built student accommodation (PBSA) in Australia, dedicated to creating vibrant, high-quality living spaces for students while delivering strong returns for investors and landowners. With our deep expertise in the PBSA sector, we combine innovative designs, operational excellence, and student-focused services to meet the growing demand for premium accommodations near Australia's top universities. Australia is a global education hub, attracting over 600,000 international students annually, with consistent growth fueled by world-class institutions and favorable immigration policies. However, the PBSA market faces a persistent undersupply, creating significant opportunities for development and investment. At Circle, we provide end-to-end solutions, from market analysis and project feasibility to operational management and community engagement.",Infrastructure and Real Estate Services,,,,,,,,Y,,,"5,000,001 to 7,500,000 USD",,,,,Y,,,,,,,,,,,JV / Partnership,,https://www.affdeal-making.hk/marketplace/opportunities/UGFydGljaXBhdGlvbk9wcG9ydHVuaXR5OjE0MDIzNQ==
,Activation Group,Senior Debt for Mining and Tailing Project Portfolios,Colin Lam,"Operation Director, Co-Founder",Australia,"This proposal presents a highly exclusive investment of 3 major project portfolios. Tin tailing projects: Consist of 16 mining and 3 exploration licenses, with over $1.3 billion USD in ground metal value across tin, copper, silver, gold, tantalum, and iron ore, JORC compliant exploration target of over $400 million USD, and JORC inferred resource of over $100 million USD. High grade dead burnt magnesia export: Production plant in Darwin producing and exporting dead burnt magnesia (DBM) with 97% MgO content, with annual export capacity of 240,000 tonnes. Magnetite tailing and gold/copper mining project: Magnetite tailings, underground copper mining, and surface hard rock gold mining. 100% of the magnetite iron ore (45% Fe) off take is secured by post production LOI, totalling $100,000,000 USD.","Environment, Energy and Clean Technology",,,Y,,,,,,,,"50,000,001 USD or above",,,,,,,,,Y,,,,,,,Mezzanine/ Debt financing,Equity-linked Securities,https://www.affdeal-making.hk/marketplace/opportunities/UGFydGljaXBhdGlvbk9wcG9ydHVuaXR5OjE0MDIzNA==
,Activation Group,Carbon Offset,Colin Lam,"Operation Director, Co-Founder",,"We have the world's largest reserve of high quality carbon offset assets, leveraging blockchain technology to ensure every transaction is secure, traceable, and trustworthy. Our platform is uniquely positioned to provide unparalleled liquidity and scalability in the rapidly expanding carbon market, aligning with global climate goals such as the Paris Agreement and ISO standards. We offers bespoke carbon offset strategies that are more cost-effective and strategically advantageous compared to purchasing credits directly from the spot market. The more sophisticated solutions are not only offering costs benefits, but also alignment of business asset strategies and robust risks mitigation.","Environment, Energy and Clean Technology",,,Y,,,,,,,,Not Applicable,,,,,,,,,,,,,,,,Takeover,Equity-linked Securities,https://www.affdeal-making.hk/marketplace/opportunities/UGFydGljaXBhdGlvbk9wcG9ydHVuaXR5OjE0MDIzMw==
