,,,
,Company Name,Company Representative,Title
,01Fintech,Jasmine Jiang,Vice President
,3DNA Technology,Dennis G Zelazowski,Founding Partner
,abc FinReg (Hong Kong) Limited,MAF wong,Manager
,AccuGrowth Investment,Jessie Huang,Managing Director
,ACH Worldwide Limited,Kyle Wong,Project Director
,Achelous Pure Metal Company Limited,Shawn Cheng,Co-Founder
,Actially Consulting GmbH,Daniel Schmidt,Managing Director
,Activation Group,Colin Lam,"Operation Director, Co-Founder"
,Activation Group,Ricky Phoon,Managing director
,Aden Financial Holdings,Anthony Tsao,CIO
,Aegis Prime Company Limited,Oliver Ng,CEO
,Aereve Company Limited,Andre Leung,Cofounder & CEO
,AEX Markets,Jeff Huang,Founder & CEO
,AEX markets,Sam Greenwood,Chief of Staff
,Afro Digital Communications U Ltd,Richard Mukasa,Managing Partner
,AIA International Limited,KEER HU,Senior wealth management manager
,AIFT,Yiheng Yang,"Hong Kong, China (Hong Kong)"
,AIFT Ltd,Nigel Yip,Deputy CFO
,Airdefender International Company Limited,Albert Wong,CEO
,Akedi and Olalo Advocates,Samuel Olalo,Partner
,Alcolear Limited,Jonathan Ross,VP
,AlgoOne,Jason NG,Director
,Alibaba Entrepreneurs Fund,Jack Chung,Manager
,Allied Sustainability and Environmental Consultants Group Limited,Dennis Wu,Chief Executive Officer and Executive Director
,ALLNER,Thilo Allner,Managing Director
,Alpha AI,Desmond Ho,CEO
,Alpha Asset Management (HK) Limited,Napoleon Lau,"Hong Kong, China"
,Alphalion Technology Limited,Anna Shen,Director of Sales and Marketing
,Ambit Asset Management,Dipti Mehta,Director - Offshore sales
,AML Holdings Ltd.,Kin Lun Mok,Chairman
,Amplifair Ltd.,Bar Tsoury,CEO
,Anchor leg technology,Khalid AlAraimi,Founder & CEO
,Ancora Equity Partners,Aaron Yang,CEO
,Andis Partners,Sean Jeon,CEO
,Angel Talks,Vladislav Gavriluk,Sales Director
,AngelHub,Jo Chan,"Vice President, Investor Relations"
,"Anglo Chinese Corporate Finance, Limited",Yanny Chu,"Central, China (Hong Kong)"
,Anlyvis Limited,Norman Lam,Co-founder & CEO
,Antai Securities Limited 安泰证券,Dave LAU,Managing Director
,apex capital,km fung,senior investment manager
,ApexCarbon Limited,Ricky Lau,Director
,Applied Technology Group Limited,Chi Man Lam,CEO
,April Labs Inc.,Ricardo (Lando) Brown,CEO & Founder
,Arbor,Ki Sum Cheng,"CEO, Co-Founder"
,Arcadia Asia Fund,Joseph Zeng,Chairman & CIO
,Arkstons Advisory WLL,Binesh Balan,Managing Director
,Arta techfin,Henan Huang,Managing director
,Artist Heart Limited,LOK PUI SO,CO-FOUNDER
,Artitech AIGC HK Limited,carrie lee,Co-Funder &CMO
,ArtWise,Grace Lau,Founder & CEO
,ArtWise,Olivier Demblum,Co-Founder
,Asia Carbon Institute,Eric Lee,Manager
,Asia Carbon Institute,Jiaqi ZHAO,Consultant
,Asia Europe Investment Partners,Johannes Diaa,Managing Director
,Asia Pacific RIM Limited,Billy Kan,Investment Officer
,Asiabots Limited,Ming Ho,Senior Marketing Executive
,Asofium GmbH,Jana Rubin,CEO
,Association of Family Office in Asia,Louis Poon,Executive Vice Chairman
,Australian Trade & Investment Commission (Austrade),Catherine Dai,Trade & Investment Director
,AutoML Plus Limited,Rebecca Lim,Director
,Autowise.ai,Melody Xu,Head of Overseas Financing and Investments
,Avantagents,JEAN-BAPTISTE DEAL,DIRECTOR
,AVENUE ASSET MANAGEMENT,KOH choy,MANAGER
,Axano Ventures Ltd,Colin Sanders,Strategic Advisor
,Balfour Capital Group,Vikram Srivastava,Investor Relations Manager
,Bank of Communication Hong Kong,Steve Chau,Relationship Manager
,Bank of Communications Co Ltd Hong Kong Branch,Rocky Shek,Chief Relationship Manager
,Base Capital Proprietary Limited,Rory Osterloh,Managing Director
,Be One Family Office Limited,Ho Lun Leung,"Hong Kong SAR, China (Hong Kong)"
,BeeFintech Company Limited,Johnson Leung,CFO
,BeeFlo Botanic,Wing Wing Yeung,Ecopreneur
,Beijing Tong Ren Tang Chinese Medicine Company Limited,Sarah Hou,investment Executive
,B-Engineering & Consulting UG,Eric Bonsou,Managing Director of B-Engineering  Consulting UG
,Bestech Clean Energy,Alex Au,General Manager
,Better Futures,Joyce W,Director
,Better World,JooYoung Lim,CEO
,Beyond Ventures,SHUANG HU,Venture Partner
,Big Bang Academy,Shin Yee Tong,Co-Founder
,Biomed Technology Holdings Limited,Claudia Lo,Investor Relations Manager
,Biptap,Jonathan Lo,CEO and Founder
,Bird & Bird,David CHENG,Partner
,Bison Group,Yufeng Chen,Adviser
,Bisonai Pte. Ltd.,Taegoo Kim,CEO
,"Bitkub Capital Group Holdings Co., Ltd.",Jirayut (Topp) Srupsrisopa,Founder and Group CEO
,Blocklogica Labs,Asal Alizade,Co-founder & CEO
